raceethnicity,year,city,state,latitude,longitude,state_fp,armed
White,2015,Pulaski,VA,37.0585149,-80.7449909,51,No
White,2015,Denham Springs,LA,30.4504135,-90.9602784,22,Firearm
White,2015,Peebles,OH,39.083271,-83.25554659999999,39,Vehicle
Black,2015,Hawthorne,CA,33.9017922,-118.3373257,6,No
Hispanic/Latino,2015,Rio Linda,CA,38.683769899999994,-121.43839990000001,6,Knife
Hispanic/Latino,2015,Key Largo,FL,25.155902899999997,-80.3902588,12,Knife
Hispanic/Latino,2015,Los Angeles,CA,34.0401299,-118.21066979999999,6,No
White,2015,Gulfport,MS,30.4247537,-89.09252430000001,28,Other
Black,2015,Tulsa,OK,36.1459389,-95.9928436,40,Firearm
Hispanic/Latino,2015,Shafter,CA,35.4998598,-119.28055,6,Firearm
Black,2015,Freeport,TX,28.955221500000004,-95.3685641,48,Knife
Black,2015,Harvey,IL,41.6037641,-87.6340616,17,No
White,2015,Laredo,TX,27.554154999999998,-99.478091,48,Knife
Hispanic/Latino,2015,Euless,TX,32.872246399999995,-97.0993902,48,Vehicle
White,2015,Pasco,WA,46.2375755,-119.09591670000002,53,Firearm
White,2015,Kingman,AZ,35.2040901,-114.0249939,4,Firearm
Hispanic/Latino,2015,Pomona,CA,34.056838,-117.7509385,6,Knife
Hispanic/Latino,2015,Las Vegas,NV,36.18512,-115.116428,32,No
Hispanic/Latino,2015,Phoenix,AZ,33.378193800000005,-111.978452,4,Firearm
Black,2015,Fridley,MN,45.0686548,-93.2634647,27,No
Hispanic/Latino,2015,Mission,TX,26.215330100000003,-98.32579040000002,48,Firearm
White,2015,Austin,TX,30.2470483,-97.88839140000002,48,No
White,2015,San Jose,CA,37.3052139,-121.84149170000002,6,Firearm
Unknown,2015,Middletown,NJ,40.443969700000004,-74.11288449999999,34,Non-lethal firearm
White,2015,Portage,MI,42.229423600000004,-85.640723,26,Firearm
Hispanic/Latino,2015,Burbank,CA,34.151061799999994,-118.3435524,6,Firearm
White,2015,Moulton,AL,34.56684129999999,-87.28665050000001,1,Other
Black,2015,Joliet,IL,41.525211,-88.07419499999999,17,Firearm
White,2015,Kearny,AZ,33.078468300000004,-110.92328640000001,4,No
White,2015,Hamilton Township,NJ,40.216132,-74.7106603,34,Firearm
Asian/Pacific Islander,2015,Honolulu,HI,21.306512899999998,-157.8598659,15,No
White,2015,Alpine,CA,32.750515,-116.7029652,6,Firearm
Asian/Pacific Islander,2015,Minneapolis,MN,45.0622444,-93.3187485,27,Firearm
Black,2015,Birmingham,AL,33.4814291,-86.82417059999999,1,Firearm
White,2015,CaÌ_å±on City,CO,38.4461021,-105.1917953,8,Firearm
White,2015,La Paz County,AZ,32.230201,-110.98208899999999,4,No
White,2015,Tacoma,WA,47.2285385,-122.4888763,53,Knife
White,2015,Meridian,MS,32.3308716,-88.56600949999999,28,No
White,2015,Fond du Lac,WI,43.7826881,-88.4753418,55,Firearm
White,2015,Old Bridge Township,NJ,40.4052734,-74.3010178,34,Knife
Black,2015,Muskogee,OK,35.766201,-95.3946991,40,Firearm
Black,2015,Detroit,MI,42.3648081,-83.23596309999999,26,Firearm
Black,2015,Mansfield,OH,40.766098,-82.5142975,39,Firearm
Black,2015,Elkton,MD,39.573500200000005,-75.8158102,24,Knife
Black,2015,Tulsa,OK,36.205974700000006,-96.0020301,40,Firearm
Black,2015,Miami,FL,25.843074800000004,-80.21121219999999,12,Knife
Black,2015,Jennings,MO,38.723411600000006,-90.2447968,29,Knife
Black,2015,Cleveland,OH,41.4501534,-81.6409378,39,No
Black,2015,St Louis,MO,38.673210100000006,-90.2913402,29,Firearm
White,2015,Syracuse,UT,41.08326339999999,-112.0831375,49,Firearm
Asian/Pacific Islander,2015,South El Monte,CA,34.053605299999994,-118.0453592,6,Knife
Black,2015,Sierra Blanca,TX,31.172832,-105.357927,48,Other
White,2015,Omaha,NE,41.242736799999996,-95.9904175,31,Firearm
Unknown,2015,Shelton,WA,47.2465324,-123.1194992,53,Non-lethal firearm
White,2015,Ruidoso,NM,33.3575249,-105.67325590000002,35,Firearm
White,2015,Hemet,CA,33.741718299999995,-116.9542389,6,Firearm
Black,2015,Trinidad,CO,37.174747100000005,-104.4915234,8,Firearm
White,2015,Arcola,IL,39.691962,-88.3028705,17,Firearm
Black,2015,Madison,WI,43.0824051,-89.36500550000001,55,Firearm
White,2015,Sulphur Springs,TX,33.1287286,-95.5938203,48,Knife
White,2015,Ruth,MS,31.324930199999997,-90.31533809999999,28,Firearm
White,2015,Wapanucka,OK,34.476518,-96.4245157,40,Firearm
White,2015,Rigby,ID,43.6411095,-111.71739960000001,16,No
Black,2015,Milwaukee,WI,42.9687729,-87.9034882,55,Non-lethal firearm
White,2015,Lincoln,NE,40.8747297,-96.68187009999998,31,Unknown
Unknown,2015,Mabank,TX,32.407138800000006,-96.0738907,48,Other
Unknown,2015,Austin,TX,32.407138800000006,-96.0738907,48,Knife
White,2015,Rochester,NY,32.407138800000006,-96.0738907,48,Firearm
Hispanic/Latino,2015,Houston,TX,29.865415000000002,-95.524052,48,No
Hispanic/Latino,2015,Los Angeles,CA,33.943603499999995,-118.29126740000001,6,Firearm
White,2015,New City,NY,41.1689186,-74.00443270000001,36,Firearm
Black,2015,Portsmouth,VA,36.818569200000006,-76.37033840000001,51,Other
Black,2015,North Charleston,SC,32.899112699999996,-80.0138016,45,Knife
White,2015,Forth Worth,TX,32.6786003,-97.3807373,48,Unknown
Hispanic/Latino,2015,Electra,TX,34.044584,-98.931198,48,Unknown
White,2015,Hoover,AL,33.4149311,-86.8515567,1,No
Unknown,2015,Berlin,NJ,39.7491188,-74.92930600000001,34,Non-lethal firearm
Black,2015,Portsmouth,VA,36.8290138,-76.3414383,51,No
Native American,2015,Tonasket,WA,48.7085419,-119.43682859999998,53,Firearm
White,2015,Gaston,NC,35.205776,-81.240669,37,Firearm
Black,2015,Oakland,CA,37.8271294,-122.2844925,6,Firearm
Unknown,2015,Fremont,CA,37.5864713,-122.06001029999999,6,Firearm
