raceethnicity,year,city,state,latitude,longitude,state_fp,armed
White,2015,Moultrie,GA,31.088287800000003,-83.6398052,13,Knife
Black,2015,Jacksonville,FL,30.2145387,-81.7372566,12,Firearm
Black,2015,Silver Spring,MD,39.0841484,-76.9422684,24,Firearm
Black,2015,New York,NY,40.657256200000006,-73.8886551,36,No
White,2015,Sidney,NE,41.121974,-102.982879,31,Firearm
Hispanic/Latino,2015,Fort Worth,TX,32.810365000000004,-97.342555,48,Firearm
White,2015,Marana,AZ,32.358058899999996,-111.09249109999999,4,Knife
Hispanic/Latino,2015,Lakewood,WA,47.159210200000004,-122.48494720000001,53,Firearm
White,2015,Clermont,FL,28.5670815,-81.8123245,12,Firearm
White,2015,Omaha,NE,41.242793799999994,-95.93312809999999,31,Firearm
Hispanic/Latino,2015,San Manuel,AZ,32.6101336,-110.6317321,4,No
Black,2015,Union,NJ,40.710707899999996,-74.2532176,34,Knife
Black,2015,Baltimore,MD,39.2844658,-76.6468658,24,Firearm
Black,2015,Oklahoma City,OK,35.4057617,-97.524292,40,Firearm
Black,2015,Hagerstown,MD,39.6494503,-77.72063320000001,24,Firearm
White,2015,Lancaster,SC,34.796695899999996,-80.79732879999999,45,No
Black,2015,Rock Island,IL,41.499609899999996,-90.5816397,17,No
White,2015,Rexburg,ID,43.8255653,-111.77870940000001,16,Non-lethal firearm
Hispanic/Latino,2015,Lakeland,FL,28.103445100000002,-81.9506454,12,Firearm
White,2015,Grand Junction,CO,39.0733903,-108.5559598,8,Firearm
Hispanic/Latino,2015,El Paso,TX,31.9034023,-106.42285919999999,48,Firearm
Hispanic/Latino,2015,Wasco,CA,35.5890732,-119.33475490000001,6,Firearm
White,2015,Wake Forest,NC,35.9575348,-78.527153,37,No
White,2015,Rockwood,MI,42.0951881,-83.2008743,26,Firearm
White,2015,Hanover,PA,39.7720299,-76.96617890000002,42,Firearm
White,2015,Muskogee County,OK,35.755008700000005,-95.4025574,40,Firearm
White,2015,Mansfield,OH,40.7386665,-82.51563259999999,39,Firearm
White,2015,Constantania,NY,43.265415000000004,-76.005973,36,No
White,2015,Tallulah,LA,32.3727417,-91.19936369999999,22,Firearm
White,2015,Branford,CT,41.2693481,-72.8428955,9,Other
White,2015,Los Angeles,CA,34.0021591,-118.4123077,6,Firearm
White,2015,Garden Grove,CA,33.7610283,-117.95374299999999,6,Firearm
White,2015,Gardner,KS,38.816658000000004,-94.9135437,20,Firearm
White,2015,Dublin,NC,34.642572799999996,-78.74167170000001,37,Knife
Black,2015,Harvey,LA,29.859853499999996,-90.0722601,22,Firearm
Black,2015,Lauderhill,FL,26.1503577,-80.2101228,12,No
Hispanic/Latino,2015,New York,NY,40.864620200000005,-73.8924332,36,Firearm
White,2015,San Diego,CA,32.801961199999994,-117.15433200000001,6,Vehicle
Black,2015,Bay Shore,NY,40.7399445,-73.2372284,36,Firearm
White,2015,Deltona,FL,28.886303499999997,-81.25322390000001,12,Unknown
Black,2015,Dallas,TX,32.6565955,-96.7502993,48,Firearm
Black,2015,Harvey,LA,29.876817100000004,-90.04898990000001,22,Firearm
White,2015,Roxand Township,MI,42.755621399999995,-84.8926637,26,Non-lethal firearm
Black,2015,Santa Clara,CA,37.3612938,-121.95913700000001,6,Other
Black,2015,Scottsdale,AZ,33.50943,-111.90871979999999,4,Knife
Black,2015,Antioch,CA,37.9996185,-121.8187332,6,Firearm
Black,2015,Valdosta,GA,30.8424794,-83.33286190000001,13,Knife
Black,2015,Culpeper,VA,38.484317499999996,-77.9793973,51,Firearm
Black,2015,Monon,IN,40.8749496,-86.8776412,18,Firearm
Black,2015,Albany,NY,42.6610199,-73.7579497,36,Firearm
White,2015,Metropolis,IL,37.1760399,-88.6766698,17,Non-lethal firearm
White,2015,Lucedale,MS,30.8003197,-88.6320801,28,Firearm
Black,2015,Spartanburg,SC,34.9038367,-81.9115352,45,Firearm
Black,2015,Indianapolis,IN,39.8262703,-85.99104969999999,18,Other
White,2015,Tewksbury,MA,42.614631700000004,-71.28314209999999,25,No
White,2015,San Antonio,TX,29.4894164,-98.42767109999998,48,Knife
Black,2015,Birmingham,AL,33.563751200000006,-86.7238083,1,No
Unknown,2015,Cottonwood,AZ,34.6895294,-111.98518370000001,4,No
Hispanic/Latino,2015,Ontario,CA,34.050080200000004,-117.65465990000001,6,Firearm
Black,2015,Randallstown,MD,39.3798716,-76.82020899999999,24,Firearm
Hispanic/Latino,2015,Hemet,CA,33.7439798,-116.95425,6,Firearm
Black,2015,Garland,TX,32.9599406,-96.6389561,48,No
Hispanic/Latino,2015,Hackensack,NJ,40.9011307,-74.040863,34,Knife
White,2015,Cottonwood,AZ,34.713046999999996,-112.0006409,4,Firearm
Black,2015,Tulsa,OK,36.149738299999996,-95.9933319,40,Firearm
White,2015,Eagar,AZ,34.11333870000001,-109.2914933,4,Firearm
White,2015,Shawnee,OK,35.333079999999995,-97.0646703,40,Knife
Hispanic/Latino,2015,El Paso,TX,31.7398815,-106.31069950000001,48,Knife
White,2015,Phoenix,AZ,33.4802603,-112.0388203,4,Firearm
Hispanic/Latino,2015,Pomona,CA,34.051128399999996,-117.720726,6,Knife
Hispanic/Latino,2015,Santa Ana,CA,33.7470254,-117.8777748,6,No
White,2015,Edgewood,NM,35.055629700000004,-106.1947021,35,Vehicle
White,2015,Onalaska,TX,30.706146,-94.93002299999999,48,No
Black,2015,Salisbury,MD,38.3791997,-75.60712020000001,24,Firearm
Black,2015,New York,NY,40.5887968,-73.9643034,36,Knife
Unknown,2015,Long Beach,CA,33.785408000000004,-118.1393127,6,Firearm
White,2015,Dadeville,AL,32.864521,-85.7209778,1,Firearm
